GEOID10,Affordable_Solar,Community_Distributed_Generation,Expected_KWh_Annual_Production,Total_Nameplate_kW_DC,Project_Cost,cost_Kw,Project_Number
36001000200,0,0,87768.03,74.79,23172.45,4974.02337488,16
36001000300,0,0,32221.91,27.45,110980.0,4042.98724954,1
36001000501,0,0,782892.6,666.97,103380.529677,4891.02119775,31
36001001100,0,0,734729.95,625.94,83855.163871,4502.37033132,31
36001001700,0,0,948976.87,808.55,31547.0469919,4847.34512097,123
36001002000,1,0,1294263.03,1102.62,56843.696,4919.77363067,75
36001002500,0,0,1425957.36,1214.8,143362.892903,4859.6064987,31
36001013000,0,0,1334749.98,1137.18,43494.796015,4786.42474015,133
36001013100,0,0,14790.38,12.6,46620.0,3700.0,1
36001013300,3,0,1512258.11,1288.39,66062.1297059,5164.4656028,102
36001013507,0,0,3470035.46,2956.29,72301.9469841,5091.23811102,189
36001013602,0,0,3510507.03,2990.65,160852.053611,5690.13273193,72
36001013707,1,0,1281003.36,1091.35,53689.4124211,5101.55628205,95
36001013902,2,0,5677758.39,4837.17,65243.1934337,5010.53926714,332
36001014203,0,0,1259998.69,1073.5,34022.9221379,4783.33605766,145
36001014301,0,0,5723209.57,4875.65,253360.887188,4143.8911401,64
36001014302,0,0,1045410.16,890.66,54291.736338,4877.66703072,71
36001014401,0,0,1568548.4,1336.29,74691.1625333,4746.75034018,75
36001014501,1,0,2967568.4,2528.17,50555.5845,4818.97018558,200
36001014502,0,0,254265.47,216.62,38161.272963,4844.02897123,27
36001014607,1,0,4330508.19,3689.34,51588.9847581,4971.89479041,248
36001014608,1,0,2121580.82,1807.53,47028.6163483,4912.87841769,178
36001014612,3,0,1411272.56,1202.35,44421.3304444,5197.59905425,135
36001014700,0,0,31130.23,26.52,45955.0,3475.69444444,2
36001014801,1,0,701766.11,597.86,43232.8371429,5269.26745819,70
36001014802,2,0,430249.99,366.56,38076.2729412,5462.31534673,51
36001014803,2,0,513907.17,437.82,37049.1450909,4864.56508438,55
36003950100,0,0,46965.34,40.01,66142.0633333,5866.36727686,3
36003950300,0,0,68170.76,58.08,43395.245,5149.19116819,6
36003950400,0,0,44277.25,37.72,24947.6,3241.29713137,5
36003950500,1,0,353739.03,301.36,80564.5415385,4304.56831329,13
36003950600,0,0,21434.32,18.26,20585.0,3475.56980057,3
36003950700,0,0,23406.36,19.94,22108.5,4524.88690476,4
36003950800,0,0,143085.23,121.9,45618.3738462,4658.87939154,13
36003950900,1,0,19503.35,16.62,35442.0,4220.3377367,2
36003951000,0,0,381409.95,324.93,79433.4953333,4441.72087982,15
36003951100,0,0,3591.95,3.06,27140.0,8869.28104575,1
36003951200,0,0,67190.6,57.25,33689.15,4006.42687241,5
36003951300,0,0,98393.62,83.82,28160.175,3420.00445667,10
36005001600,0,0,468389.13,399.05,27173.4653846,4826.76515168,65
36005002701,0,0,424781.0,361.88,158791.011579,6996.25374092,19
36005006100,0,0,1174357.66,1000.45,165976.336774,5594.58665901,31
36005006800,0,0,305262.97,260.07,67853.6763158,4659.27100431,19
36005007300,0,0,594028.78,506.06,190437.464615,5675.7107479,13
36005009300,0,9,1519574.63,1294.53,257177.254118,4417.48261024,17
