,Percent_Less_9th,Percent_12th_no_dip,Percent_HighSchool,Percent_Some_college,Percent_Associate,Percent_Bachelors,Percent_Graduate,Percent_more_than_hs,Avg_hh_size,Median_age,Percent_hh_w_children,Percent_1_unit_detached,Percent_1_unit_attached,Percent_2_units,Percent_3_4_units,Percent_5_9_units,Percent_10_19_units,Percent_20+_units,Percent_10+_units,Percent_1_unit,Percent_Heating_gas,Percent_Heating_gas_tank,Percent_Heating_electricity,Percent_Heating_fuelkero,Percent_Heating_coal_coke,Percent_Heating_wood,Percent_Heating_solar,Percent_Heating_other,Percent_Heating_no,Percent_1_room,Percent_2_rooms,Percent_3_rooms,Percent_4_rooms,Percent_5_rooms,Percent_6_rooms,Percent_7_rooms,Percent_8_rooms,Percent_9_more_rooms,median_rooms,Project_yes,percent_qualified,yearly_sunlight_kwh_total,weight,Duplicate,GEOID10,county_name,households,result
0,0.0865306122449,0.0955102040816,0.288163265306,0.314285714286,0.0832653061224,0.117551020408,0.014693877551,0.529795918367,2.44,33.8,0.283435582822,0.188877229801,0.117523609654,0.488982161595,0.133263378804,0.0178384050367,0.0283315844701,0.0115424973767,0.0398740818468,0.306400839454,0.788957055215,0.00490797546012,0.169325153374,0.0368098159509,0.0,0.0,0.0,0.0,0.0,0.0283315844701,0.0,0.101783840504,0.209863588667,0.225603357817,0.300104931794,0.0828961175236,0.0283315844701,0.0230849947534,5.2,0,78.1206171108,24743003.4482,815.0,No,36001000100,Albany,815,0.00625042586448
3,0.0230560578662,0.0623869801085,0.273960216998,0.125678119349,0.0813743218807,0.205696202532,0.227848101266,0.640596745027,1.75,61.3,0.122468659595,0.219081272085,0.270318021201,0.0538869257951,0.0733215547703,0.134275618375,0.00883392226148,0.240282685512,0.249116607774,0.489399293286,0.649951783992,0.00867888138862,0.294117647059,0.0308582449373,0.0,0.00578592092575,0.0,0.00578592092575,0.00482160077146,0.0353356890459,0.0644876325088,0.0627208480565,0.36925795053,0.148409893993,0.171378091873,0.0803886925795,0.0273851590106,0.0406360424028,4.4,0,76.3986013986,34306265.567,1037.0,No,36001000401,Albany,1037,0.00615369389678
4,0.0164690382082,0.0569828722003,0.107048748353,0.123847167325,0.101119894598,0.262516469038,0.332015810277,0.819499341238,2.02,34.1,0.135652173913,0.459163735834,0.0121141070731,0.244236029699,0.162954279015,0.0816725283314,0.0343884329816,0.00547088706526,0.0398593200469,0.471277842907,0.718695652174,0.0108695652174,0.127826086957,0.0921739130435,0.0,0.0,0.0,0.0360869565217,0.014347826087,0.0273544353263,0.0125048847206,0.064087534193,0.203595154357,0.154747948417,0.240719030871,0.119968737788,0.126221180148,0.0508010941774,5.7,0,73.5567970205,23349671.3536,2300.0,No,36001000403,Albany,2300,0.00921314026106
5,0.0121951219512,0.182926829268,0.268292682927,0.268292682927,0.146341463415,0.0853658536585,0.0365853658537,0.536585365854,2.69190990691,19.7,0.0,0.190476190476,0.0,0.190476190476,0.0,0.0,0.0,0.0,0.0,0.190476190476,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809523809524,0.190476190476,8.1,0,90.9090909091,12987542.5284,8.0,No,36001000404,Albany,8,0.0214678163829
7,0.00170794192997,0.0486763450043,0.206660973527,0.135781383433,0.0939368061486,0.291204099061,0.222032450897,0.742954739539,1.9,21.3,0.106911447084,0.234879032258,0.0292338709677,0.247983870968,0.304435483871,0.119959677419,0.0181451612903,0.0453629032258,0.0635080645161,0.264112903226,0.812095032397,0.0205183585313,0.126349892009,0.0410367170626,0.0,0.0,0.0,0.0,0.0,0.0302419354839,0.0292338709677,0.202620967742,0.23689516129,0.0907258064516,0.181451612903,0.0645161290323,0.0786290322581,0.085685483871,4.5,0,63.058419244,6766910.01527,926.0,No,36001000502,Albany,926,0.00844026546852
8,0.0309510410805,0.159819921216,0.403489026449,0.222284749578,0.0517726505346,0.117051209904,0.014631401238,0.405740011255,2.77,24.2,0.218703976436,0.110785463072,0.0433763188746,0.426143024619,0.283118405627,0.0826494724502,0.0152403282532,0.0269636576788,0.042203985932,0.154161781946,0.786450662739,0.0117820324006,0.19587628866,0.00589101620029,0.0,0.0,0.0,0.0,0.0,0.0404454865182,0.0703399765533,0.138335287222,0.166471277843,0.303048065651,0.193434935522,0.0369284876905,0.0304806565064,0.0205158264947,4.8,0,78.9754535752,9704637.73036,1358.0,No,36001000600,Albany,1358,0.00554054404703
9,0.0372940156114,0.117953165655,0.392888117953,0.259323503903,0.0845620121422,0.0693842150911,0.0385949696444,0.451864700781,2.81,29.0,0.349605168701,0.12638469285,0.0382678751259,0.539274924471,0.112286002014,0.105740181269,0.0327291037261,0.0453172205438,0.0780463242699,0.164652567976,0.75735821967,0.024407753051,0.180186647523,0.0380473797559,0.0,0.0,0.0,0.0,0.0,0.0105740181269,0.0125881168177,0.0961732124874,0.190332326284,0.236656596173,0.302114803625,0.0599194360524,0.0206445115811,0.070996978852,5.3,0,73.8636363636,19709451.3226,1393.0,No,36001000700,Albany,1393,0.00637390241397
10,0.0932721712538,0.169724770642,0.357033639144,0.145259938838,0.110091743119,0.0565749235474,0.0680428134557,0.37996941896,2.43,34.0,0.21198156682,0.0395042602634,0.0487993803253,0.401239349342,0.305964368706,0.0875290472502,0.0302091402014,0.0867544539117,0.116963594113,0.0883036405887,0.649769585253,0.0,0.268433179724,0.0506912442396,0.0,0.0,0.0,0.0311059907834,0.0,0.0588690937258,0.0255615801704,0.209914794733,0.256390395043,0.182804027885,0.185127807901,0.0681642137878,0.00619674670798,0.00697134004648,4.3,0,80.7631160572,7179179.94088,868.0,No,36001000800,Albany,868,0.00570002816833
12,0.0141329258976,0.0355233002292,0.182200152788,0.127960275019,0.0634071810542,0.360962566845,0.215813598167,0.768143621085,1.39,31.8,0.0339847068819,0.0293381037567,0.0475849731664,0.10626118068,0.295885509839,0.196779964222,0.0651162790698,0.259033989267,0.324150268336,0.0769230769231,0.658028887001,0.0488530161427,0.218776550552,0.0335598980459,0.0,0.0,0.0,0.0407816482583,0.0,0.0923076923077,0.146690518784,0.361359570662,0.242933810376,0.0744186046512,0.0407871198569,0.0157423971377,0.013595706619,0.0121645796064,3.2,0,74.9675745785,7176656.60164,2354.0,No,36001001400,Albany,2354,0.00532134250449
13,0.0230215827338,0.0161870503597,0.124820143885,0.264748201439,0.0888489208633,0.319064748201,0.163309352518,0.835971223022,2.11,26.7,0.0415896487985,0.0892367906067,0.00704500978474,0.354207436399,0.2,0.133463796477,0.0277886497065,0.188258317025,0.216046966732,0.0962818003914,0.676524953789,0.0212569316081,0.228743068392,0.0568391866913,0.0,0.0,0.0,0.00785582255083,0.00878003696858,0.0841487279843,0.0438356164384,0.195694716243,0.153816046967,0.145596868885,0.231311154599,0.054011741683,0.0457925636008,0.0457925636008,4.7,0,73.3188720174,7314799.97895,2164.0,No,36001001500,Albany,2164,0.00552770008727
