,Percent_Less_9th,Percent_more_than_hs,Percent_1_unit,Avg_hh_size,Percent_hh_w_children,Percent_10+_units,Percent_Heating_electricity,yearly_sunlight_kwh_total,Percent_6_rooms,percent_qualified,Project_yes,weight,result,GEOID10
0,0.027918782,0.387237128,0.133725202,2.21,0.209371884,0.183321087,0.44217348,19096107.5,0.180014695,79.87697715,0,1990,0.003405253,36001000100
1,0.048816136,0.482899737,0.309461967,2.19,0.128515794,0.13432282,0.307659022,47084994.91,0.208534323,74.55485353,0,2310,0.002916849,36001000200
2,0.055458515,0.520524017,0.169894853,2.17,0.208654416,0.298837853,0.235328986,8430451.482,0.239623686,76.12137203,0,1656,0.003223635,36001000300
3,0.116367077,0.465468307,0.037349398,1.44,0.062228654,0.461445783,0.513748191,30007672.3,0.054216867,87.52783964,0,660,0.011212229,36001000401
4,0.006624511,0.848840711,0.41451767,2.4,0.169035533,0.098853868,0.114720812,10619492.85,0.169054441,67.90336497,0,1847,0.004377487,36001000403
5,0.007688611,0.574243152,0.370878103,2.69,0.238408037,0.030011115,0.176197836,13731464.93,0.231937755,75.89803013,0,2513,0.009215734,36001000404
6,0.044444444,0.377192982,0.177288528,2.21,0.187244481,0.240440324,0.504497138,10695687.67,0.125144844,75.39797395,0,1192,0.05460612,36001000501
7,0.023260285,0.520569012,0.650573116,2.24,0.173633441,0.08475165,0.125401929,23534049.58,0.204237582,81.60377358,0,2666,0.007215646,36001000502
8,0.012131716,0.567302137,0.200479233,2.44,0.243970315,0.071884984,0.143784787,26110396.4,0.255591054,88.80090498,0,1077,0.003200265,36001000600
9,0.01773399,0.577668309,0.300983326,2.37,0.30622244,0.191962377,0.255267026,18020023.47,0.232150492,85.34482759,0,1939,0.040082667,36001000700
10,0.013264129,0.723183391,0.620431115,2.46,0.247724975,0.127460169,0.140546006,31479144.72,0.14995314,73.04250559,0,800,0.064097796,36001000800
11,0.019587977,0.785883148,0.388052896,2.28,0.249321021,0.360237118,0.308527974,43588433.5,0.060647515,75.52565181,0,1769,0.019812016,36001001100
12,0.002961276,0.709567198,0.89561753,2.42,0.21388443,0.080079681,0.067014446,25371327.43,0.200398406,72.29013855,0,2397,0.017434866,36001001400
13,0.01337627,0.723557097,0.76,2.44,0.183515483,0.02,0.155282332,24095428.43,0.184782609,74.31325301,0,1864,0.028180474,36001001500
14,0.008665906,0.885746864,0.800697945,2.45,0.283055448,0.011632416,0.050019387,13645499.55,0.160915083,42.3180593,0,2434,0.106860554,36001001600
15,0.019792648,0.636192271,0.81764207,2.36,0.243218807,0.089058524,0.131103074,14424399.68,0.27480916,65.39634146,0,1042,0.013918735,36001001700
16,0.008677991,0.7538774,0.869887279,2.82,0.349693252,0,0.054873892,37652780.59,0.204830918,81.66598612,0,2863,0.03630479,36001001801
